6,0.126436782,2020年12月14日,174,,,,,,,,本行表示本列表背诵次数，最后一次遗忘率和最后一次背诵时间
背诵次数,忘记次数,最后一次忘记的日期,word,level,list,序号,页数,易混淆1,易混淆2,助记备注,
,2,2020年12月14日,accusation,4,10,147,148,,,,
,0,,agent,4,10,52,143,,,,
,0,,aggressiveness,4,10,94,145,aggressive,,,
,3,2020年12月14日,aisle,4,10,165,149,,,,
,0,,aluminum,4,10,108,145,,,,
,2,2020年9月27日,apparatus,4,10,6,140,,,,
,1,2020年11月23日,aroma,4,10,136,147,,,,
,1,2020年11月23日,assess,4,10,21,141,,,,
,0,,assign,4,10,47,142,,,,
,1,2020年9月8日,assume,4,10,78,144,,,,
,1,2020年11月23日,attribute,4,10,71,143,attitude,,,
,0,,audible,4,10,156,148,,,,
,0,,audition,4,10,60,143,,,,
,0,,autonomous,4,10,28,141,,,,
,0,,avoidance,4,10,5,140,,,,
,0,,awkward,4,10,161,149,,,,
,0,,bargain,4,10,148,148,,,,
,2,2020年12月14日,belly,4,10,144,147,,,,
,0,,blacksmith,4,10,63,143,,,,
,1,2020年12月14日,boom,4,10,65,143,,,,
,0,,bust,4,10,19,141,,,,
,0,,cancer,4,10,142,147,,,,
,0,,cart,4,10,125,146,,,,
,1,2020年9月15日,carve,4,10,22,141,cavity,,,
,0,,cautious,4,10,143,147,,,,
,0,,clearing,4,10,61,143,,,,
,0,,cluster,4,10,12,140,,,,
,0,,collaborate,4,10,97,145,,,,
,1,2020年11月23日,commute,4,10,91,145,,,,
,0,,conceive,4,10,3,140,,,,
,0,,conception,4,10,26,141,,,,
,0,,conformity,4,10,72,144,,,,
,0,,consolidate,4,10,90,145,,,,
,1,2020年11月23日,contradict,4,10,74,144,,,,
,0,,corruption,4,10,42,142,,,,
,0,,court,4,10,86,144,,,,
,0,,crisp,4,10,162,149,,,,
,0,,critical,4,10,2,140,,,,
,0,,curtain,4,10,126,146,,,,
,0,,dash,4,10,129,147,,,,
,0,,decay,4,10,4,140,,,,
,5,2020年12月14日,deficit,4,10,95,145,,,,
,0,,definite,4,10,111,146,,,,
,4,2020年12月14日,devastate,4,10,36,142,,,,
,4,2020年12月14日,devotion,4,10,77,144,donation,,,
,0,,dim,4,10,70,143,,,,
,0,,disclose,4,10,163,149,,,,
,0,,discredit,4,10,49,142,,,,
,1,2020年12月14日,dispute,4,10,80,144,refute,,,
,1,2020年11月23日,disruption,4,10,82,144,,,,
,0,,domain,4,10,130,147,,,,
,0,,drown,4,10,99,145,,,,
,0,,dynasty,4,10,109,145,,,,
,4,2020年12月14日,earnest,4,10,164,149,,,,
,0,,eliminate,4,10,110,146,,,,
,2,2020年12月14日,encounter,4,10,105,145,,,,
,0,,endanger,4,10,55,143,,,,
,0,,energetic,4,10,138,147,,,,
,0,,enforce,4,10,59,143,,,,
,0,,ensure,4,10,57,143,,,,
,1,2020年11月23日,equator,4,10,112,146,,,,
,0,,essence,4,10,41,142,,,,
,0,,evaluate,4,10,11,140,,,,
,4,2020年12月14日,excess,4,10,18,141,exceed,,,
,1,2020年11月23日,exert,4,10,44,142,,,,
,0,,exhaust,4,10,17,141,,,,
,0,,expenditure,4,10,31,141,,,,
,0,,explosion,4,10,9,140,,,,
,0,,extension,4,10,149,148,,,,
,0,,fierce,4,10,15,141,,,,
,0,,fireworks,4,10,157,148,firework,,,
,1,2020年11月23日,flaw,4,10,83,144,claw,,,
,1,2020年11月23日,flock,4,10,100,145,,,,
,0,,forerunner,4,10,27,141,,,,
,0,,frown,4,10,88,144,,,,
,1,2020年11月23日,generalization,4,10,92,145,,,,
,1,2020年11月23日,granite,4,10,84,144,,,,
,0,,graphic,4,10,158,148,,,,
,0,,gymnastic,4,10,29,141,,,,
,4,2020年12月14日,heredity,4,10,38,142,,,inherent,
,0,,hibernate,4,10,33,142,,,,
,2,2020年12月14日,hostile,4,10,106,145,hospitable,,,
,1,2020年11月23日,humiliate,4,10,81,144,,,,
,0,,hybrid,4,10,93,145,,,,
,0,,hypothesis,4,10,89,144,,,,
,1,2020年11月23日,identification,4,10,115,146,,,,
,0,,immigration,4,10,150,148,,,,
,5,2020年12月14日,incur,4,10,73,144,recur, incurrence,,
,0,,installation,4,10,133,147,,,,
,1,2020年11月23日,interdependence,4,10,23,141,independence,,,
,5,2020年12月14日,intervention,4,10,13,140,,,,
,0,,jealous,4,10,151,148,,,,
,0,,justify,4,10,25,141,,,,
,0,,large-scale,4,10,16,141,,,,
,1,2020年11月23日,lawn,4,10,127,146,,,,
,0,,license,4,10,159,148,,,,
,0,,lunar,4,10,76,144,,,,
,4,2020年12月14日,malfunction,4,10,166,149,modification,,,
,1,2020年11月23日,manual,4,10,62,143,,,,
,0,,maritime,4,10,103,145,,,,
,0,,maximal,4,10,67,143,,,,
,1,2020年11月23日,mechanism,4,10,114,146,,,,
,1,2020年9月15日,medal,4,10,167,149,,,,
,1,2020年11月23日,median,4,10,35,142,,,,
,0,,mediate,4,10,20,141,,,,
,0,,medication,4,10,152,148,,,,
,0,,memorial,4,10,123,146,,,,
,1,2020年11月23日,migrant,4,10,1,140,,,,
,1,2020年11月23日,mold,4,10,51,143,,,,
,0,,necklace,4,10,132,147,,,,
,1,2020年11月23日,newsletter,4,10,168,149,,,,
,0,,oversimplification,4,10,8,140,,,,
,0,,panic,4,10,104,145,,,,
,1,2020年9月8日,parade,4,10,134,147,,,,
,2,2020年12月14日,paraphrase,4,10,153,148,paragraph,,,
,1,2020年11月23日,perimeter,4,10,120,146,premiere,,,
,0,,phoenix,4,10,66,143,,,,
,2,2020年11月23日,physiology,4,10,68,143,,,,
,3,2020年11月23日,posit,4,10,87,144,,,,
,0,,predatory,4,10,34,142,,,,
,2,2020年11月23日,primate,4,10,139,147,prime,,,
,0,,problematic,4,10,101,145,,,,
,0,,procedure,4,10,117,146,,,,
,0,,process,4,10,10,140,,,,
,1,2020年11月23日,projection,4,10,39,142,,,,
,0,,proverb,4,10,122,146,,,,
,0,,quest,4,10,85,144,,,,
,0,,questionnaire,4,10,48,142,,,,
,0,,radius,4,10,118,146,,,,
,0,,rag,4,10,46,142,,,,
,0,,rebellion,4,10,56,143,,,,
,0,,receipt,4,10,154,148,,,,
,1,2020年11月23日,reclaim,4,10,107,145,claim,,,
,0,,rectangle,4,10,119,146,,,,
,1,2020年11月23日,restoration,4,10,102,145,,,,
,0,,revival,4,10,37,142,,,,
,2,2020年12月14日,rid,4,10,75,144,,,,
,0,,rodent,4,10,98,145,,,,
,1,2020年9月15日,scar,4,10,155,148,scare, scarce,,
,0,,sculpture,4,10,58,143,,,,
,2,2020年9月27日,sighting,4,10,116,146,,,,
,1,2020年11月23日,skull,4,10,45,142,,,,
,0,,slot,4,10,169,149,,,,
,0,,sneaker,4,10,140,147,,,,
,4,2020年11月23日,sore,4,10,170,149,pore,,,
,2,2020年12月14日,splash,4,10,32,142,spilt,,,
,1,2020年11月23日,spray,4,10,40,142,,,,
,1,2020年11月23日,stir,4,10,124,146,,,,
,0,,stove,4,10,131,147,,,,
,0,,subscribe,4,10,7,140,,,,
,0,,suspect,4,10,50,142,,,,
,0,,suspicious,4,10,14,141,,,,
,0,,tag,4,10,128,147,,,,
,0,,tattoo,4,10,141,147,,,,
,2,2020年9月27日,thereby,4,10,43,142,,,,
,0,,throne,4,10,160,149,,,,
,0,,tick,4,10,135,147,,,,
,0,,timescale,4,10,53,143,,,,
,0,,tin,4,10,54,143,,,,
,0,,torrent,4,10,171,149,,,,
,2,2020年9月27日,tournament,4,10,145,148,,,,
,0,,trademark,4,10,172,149,,,,
,0,,trait,4,10,24,141,,,,
,1,2020年11月23日,tribute,4,10,137,147,contribute,,,
,1,2020年12月14日,twist,4,10,113,146,waist,,,
,0,,ultimately,4,10,96,145,,,,
,3,2020年12月14日,undertake,4,10,79,144,,,,
,0,,unevenly,4,10,30,141,uneven,,,
,0,,virtual,4,10,69,143,,,,
,0,,visualize,4,10,173,149,,,,
,0,,voltage,4,10,121,146,,,,
,1,2020年12月14日,waist,4,10,146,148,wrist,,,
,0,,wander,4,10,64,143,,,,
,1,2020年11月23日,wig,4,10,174,149,twig,,,
