1,0,2020年9月25日,22,,,,,本行表示本列表背诵次数，最后一次遗忘率和最后一次背诵时间,
背诵次数,忘记次数,最后一次忘记的日期,word,level,list,序号,页数,备注,助记备注
,0,,butter,2,12,20,341,,
,0,,centigrade,2,12,14,340,,
,0,,chips,2,12,16,340,,
,0,,count,2,12,13,340,,
,0,,crystal,2,12,15,340,,
,0,,detail,2,12,19,340,,
,0,,disadvantage,2,12,22,341,,
,0,,discovery,2,12,8,340,,
,0,,fishery,2,12,21,341,,
,0,,frequent,2,12,7,340,,
,0,,layer,2,12,12,340,,
,0,,librarian,2,12,18,340,,
,0,,owe,2,12,5,340,,
,0,,plastic,2,12,2,340,,
,0,,proper,2,12,6,340,,
,0,,reshape,2,12,9,340,,
,0,,shower,2,12,17,340,,
,0,,studio,2,12,4,340,,
,0,,tube,2,12,11,340,,
,0,,unknown,2,12,3,340,,
,0,,via,2,12,1,340,,
,0,,wire,2,12,10,340,,
